

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

098.030  002.186  000.380: require cmp.source
098.495  000.138  000.138: require cmp.utils.event
099.052  000.339  000.339: require cmp.utils.window
099.058  000.559  000.220: require cmp.view.docs_view
099.898  000.350  000.350: require cmp.utils.autocmd
099.914  000.853  000.503: require cmp.view.custom_entries_view
100.184  000.267  000.267: require cmp.view.wildmenu_entries_view
100.343  000.156  000.156: require cmp.view.native_entries_view
100.504  000.158  000.158: require cmp.view.ghost_text_view
100.514  002.481  000.350: require cmp.view
100.619  006.962  000.461: require cmp.core
100.835  000.073  000.073: require cmp.config.sources
100.903  000.065  000.065: require cmp.config.window
100.948  007.512  000.412: require cmp
100.953  007.706  000.107: require nvim-autopairs.completion.cmp
101.326  000.041  000.041: require util.health
101.330  000.166  000.125: require plugins.telescope
101.652  000.171  000.171: require telescope.themes
103.252  000.237  000.237: require telescope._extensions.ui-select
103.573  000.310  000.310: require vim.ui
103.684  000.098  000.098: require telescope._extensions.mapdesc
103.724  000.036  000.036: require telescope._extensions.bashrc
103.771  000.043  000.043: require telescope._extensions.go_src
103.852  000.061  000.061: require telescope._extensions.plugin_files
103.888  000.031  000.031: require telescope._extensions.notes
103.955  000.062  000.062: require plugins.luasnip
104.935  000.403  000.403: require tokyonight.hsluv
104.945  000.720  000.316: require tokyonight.util
105.610  000.154  000.154: require tokyonight.colors
105.614  000.666  000.512: require tokyonight.theme
105.616  001.510  000.124: require tokyonight
105.780  000.160  000.160: require tokyonight.config
107.799  003.710  002.040: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/tokyonight.nvim/colors/tokyonight.vim
108.042  000.092  000.092: require plugins.gitsigns
108.412  000.088  000.088: require gitsigns.async
108.477  000.061  000.061: require gitsigns.status
108.964  000.157  000.157: require gitsigns.debug
109.123  000.155  000.155: require gitsigns.util
109.224  000.099  000.099: require gitsigns.subprocess
109.909  000.053  000.053: require gitsigns.message
109.934  000.452  000.399: require gitsigns.config
109.981  000.045  000.045: require gitsigns.signs.base
109.986  000.557  000.060: require gitsigns.signs
109.990  000.764  000.207: require gitsigns.hunks
110.001  001.521  000.347: require gitsigns.git
110.415  000.075  000.075: require gitsigns.cache
110.494  000.075  000.075: require gitsigns.debounce
110.547  000.050  000.050: require gitsigns.diff
110.561  000.558  000.357: require gitsigns.manager
110.614  000.052  000.052: require gitsigns.nvim
110.720  000.103  000.103: require gitsigns.highlight
110.731  002.684  000.300: require gitsigns
111.208  000.463  000.463: require trouble
111.654  000.156  000.156: require gitsigns.signs.vimfn
111.752  000.058  000.058: require gitsigns.nvim.autocmds
111.811  000.048  000.048: require gitsigns.nvim.command
113.141  000.205  000.205: require plugins.lsp.common
118.225  000.300  000.300: require vim.lsp.log
119.328  001.098  001.098: require vim.lsp.protocol
121.510  000.694  000.694: require vim.lsp._snippet
121.888  000.373  000.373: require vim.highlight
121.913  002.580  001.513: require vim.lsp.util
121.930  005.013  001.035: require vim.lsp.handlers
122.417  000.485  000.485: require vim.lsp.rpc
122.839  000.419  000.419: require vim.lsp.sync
123.505  000.662  000.662: require vim.lsp.buf
124.030  000.521  000.521: require vim.lsp.diagnostic
124.402  000.369  000.369: require vim.lsp.codelens
124.496  010.098  002.630: require vim.lsp
124.527  010.863  000.765: require lspconfig.util
124.531  011.189  000.326: require lspconfig.configs
124.535  011.375  000.186: require lspconfig
124.657  000.120  000.120: require lspconfig.server_configurations.sumneko_lua
124.936  000.090  000.090: require cmp_nvim_lsp.source
